Train Auc.: 0.9336 | Test Auc.: 0.9296
Train Loss.: 0.1151 | Test Loss.: 0.1179
Train Acc.: 0.8491 | Test Acc.: 0.8427
Epoch: 113/200   | Learning Rate 0.000900
Train Auc.: 0.9364 | Test Auc.: 0.9322
Train Loss.: 0.1155 | Test Loss.: 0.1188
Train Acc.: 0.8437 | Test Acc.: 0.8398
Epoch: 114/200   | Learning Rate 0.000900
Train Auc.: 0.9387 | Test Auc.: 0.9349
Train Loss.: 0.1065 | Test Loss.: 0.1098
Train Acc.: 0.8617 | Test Acc.: 0.8553
Epoch: 115/200   | Learning Rate 0.000900
Train Auc.: 0.9405 | Test Auc.: 0.9371
Train Loss.: 0.1074 | Test Loss.: 0.1103
Train Acc.: 0.8679 | Test Acc.: 0.8602
Epoch: 116/200   | Learning Rate 0.000900
Train Auc.: 0.9395 | Test Auc.: 0.9370
Train Loss.: 0.1129 | Test Loss.: 0.1151
Train Acc.: 0.8600 | Test Acc.: 0.8549
Epoch: 117/200   | Learning Rate 0.000900
Train Auc.: 0.9387 | Test Auc.: 0.9360
Train Loss.: 0.1123 | Test Loss.: 0.1145
Train Acc.: 0.8599 | Test Acc.: 0.8543
Epoch: 118/200   | Learning Rate 0.000900
Train Auc.: 0.9409 | Test Auc.: 0.9376
Train Loss.: 0.1056 | Test Loss.: 0.1085
Train Acc.: 0.8686 | Test Acc.: 0.8628
Epoch: 119/200   | Learning Rate 0.000900
Train Auc.: 0.9367 | Test Auc.: 0.9336
Train Loss.: 0.1169 | Test Loss.: 0.1202
Train Acc.: 0.8458 | Test Acc.: 0.8391
Epoch: 120/200   | Learning Rate 0.000900
Train Auc.: 0.9384 | Test Auc.: 0.9343
Train Loss.: 0.1106 | Test Loss.: 0.1139
Train Acc.: 0.8559 | Test Acc.: 0.8493
Epoch: 121/200   | Learning Rate 0.000900
Train Auc.: 0.9406 | Test Auc.: 0.9371
Train Loss.: 0.1059 | Test Loss.: 0.1088
Train Acc.: 0.8669 | Test Acc.: 0.8582
Epoch: 122/200   | Learning Rate 0.000900
Train Auc.: 0.9383 | Test Auc.: 0.9357
Train Loss.: 0.1099 | Test Loss.: 0.1117
Train Acc.: 0.8615 | Test Acc.: 0.8551
Epoch: 123/200   | Learning Rate 0.000900
Train Auc.: 0.9385 | Test Auc.: 0.9365
Train Loss.: 0.1155 | Test Loss.: 0.1177
Train Acc.: 0.8566 | Test Acc.: 0.8520
Epoch: 124/200   | Learning Rate 0.000900
Train Auc.: 0.9404 | Test Auc.: 0.9370
Train Loss.: 0.1074 | Test Loss.: 0.1102
Train Acc.: 0.8669 | Test Acc.: 0.8600
Epoch: 125/200   | Learning Rate 0.000900
Train Auc.: 0.9390 | Test Auc.: 0.9339
Train Loss.: 0.1079 | Test Loss.: 0.1113
Train Acc.: 0.8663 | Test Acc.: 0.8603
Epoch: 126/200   | Learning Rate 0.000900
Train Auc.: 0.9366 | Test Auc.: 0.9333
Train Loss.: 0.1122 | Test Loss.: 0.1155
Train Acc.: 0.8568 | Test Acc.: 0.8439
Epoch: 127/200   | Learning Rate 0.000900
Train Auc.: 0.9358 | Test Auc.: 0.9326
Train Loss.: 0.1146 | Test Loss.: 0.1179
Train Acc.: 0.8519 | Test Acc.: 0.8417
Epoch: 128/200   | Learning Rate 0.000900
Train Auc.: 0.9416 | Test Auc.: 0.9370
Train Loss.: 0.1073 | Test Loss.: 0.1111
Train Acc.: 0.8603 | Test Acc.: 0.8551
Epoch: 129/200   | Learning Rate 0.000900
Train Auc.: 0.9416 | Test Auc.: 0.9386
Train Loss.: 0.1095 | Test Loss.: 0.1123
Train Acc.: 0.8655 | Test Acc.: 0.8622
Epoch: 130/200   | Learning Rate 0.000900
Train Auc.: 0.9384 | Test Auc.: 0.9365
Train Loss.: 0.1149 | Test Loss.: 0.1164
Train Acc.: 0.8586 | Test Acc.: 0.8556
Epoch: 131/200   | Learning Rate 0.000900
Train Auc.: 0.9424 | Test Auc.: 0.9383
Train Loss.: 0.1101 | Test Loss.: 0.1131
Train Acc.: 0.8645 | Test Acc.: 0.8574
Epoch: 132/200   | Learning Rate 0.000900
Train Auc.: 0.9407 | Test Auc.: 0.9355
Train Loss.: 0.1057 | Test Loss.: 0.1103
Train Acc.: 0.8643 | Test Acc.: 0.8566
Epoch: 133/200   | Learning Rate 0.000900
Train Auc.: 0.9382 | Test Auc.: 0.9332
Train Loss.: 0.1107 | Test Loss.: 0.1150
Train Acc.: 0.8568 | Test Acc.: 0.8488
Epoch: 134/200   | Learning Rate 0.000900
Train Auc.: 0.9365 | Test Auc.: 0.9334
Train Loss.: 0.1132 | Test Loss.: 0.1161
Train Acc.: 0.8491 | Test Acc.: 0.8424
Epoch: 135/200   | Learning Rate 0.000900
Train Auc.: 0.9394 | Test Auc.: 0.9362
