Train Auc.: 0.9187 | Test Auc.: 0.9156
Train Loss.: 0.1372 | Test Loss.: 0.1399
Train Acc.: 0.8330 | Test Acc.: 0.8285
Epoch: 121/200   | Learning Rate 0.000900
Train Auc.: 0.9276 | Test Auc.: 0.9245
Train Loss.: 0.1412 | Test Loss.: 0.1435
Train Acc.: 0.8088 | Test Acc.: 0.8084
Epoch: 122/200   | Learning Rate 0.000900
Train Auc.: 0.9332 | Test Auc.: 0.9295
Train Loss.: 0.1326 | Test Loss.: 0.1344
Train Acc.: 0.8523 | Test Acc.: 0.8437
Epoch: 123/200   | Learning Rate 0.000900
Train Auc.: 0.9325 | Test Auc.: 0.9310
Train Loss.: 0.1407 | Test Loss.: 0.1420
Train Acc.: 0.8453 | Test Acc.: 0.8440
Epoch: 124/200   | Learning Rate 0.000900
Train Auc.: 0.9291 | Test Auc.: 0.9268
Train Loss.: 0.1312 | Test Loss.: 0.1326
Train Acc.: 0.8427 | Test Acc.: 0.8403
Epoch: 125/200   | Learning Rate 0.000900
Train Auc.: 0.9267 | Test Auc.: 0.9203
Train Loss.: 0.1361 | Test Loss.: 0.1397
Train Acc.: 0.8254 | Test Acc.: 0.8182
Epoch: 126/200   | Learning Rate 0.000900
Train Auc.: 0.9398 | Test Auc.: 0.9369
Train Loss.: 0.1217 | Test Loss.: 0.1233
Train Acc.: 0.8505 | Test Acc.: 0.8459
Epoch: 127/200   | Learning Rate 0.000900
Train Auc.: 0.9245 | Test Auc.: 0.9219
Train Loss.: 0.1451 | Test Loss.: 0.1475
Train Acc.: 0.8088 | Test Acc.: 0.8013
Epoch: 128/200   | Learning Rate 0.000900
Train Auc.: 0.9404 | Test Auc.: 0.9375
Train Loss.: 0.1432 | Test Loss.: 0.1446
Train Acc.: 0.8287 | Test Acc.: 0.8256
Epoch: 129/200   | Learning Rate 0.000900
Train Auc.: 0.8857 | Test Auc.: 0.8830
Train Loss.: 0.1644 | Test Loss.: 0.1666
Train Acc.: 0.7774 | Test Acc.: 0.7711
Epoch: 130/200   | Learning Rate 0.000900
Train Auc.: 0.9443 | Test Auc.: 0.9417
Train Loss.: 0.1435 | Test Loss.: 0.1448
Train Acc.: 0.8177 | Test Acc.: 0.8149
Epoch: 131/200   | Learning Rate 0.000900
Train Auc.: 0.9227 | Test Auc.: 0.9201
Train Loss.: 0.1273 | Test Loss.: 0.1287
Train Acc.: 0.8417 | Test Acc.: 0.8346
Epoch: 132/200   | Learning Rate 0.000900
Train Auc.: 0.9355 | Test Auc.: 0.9313
Train Loss.: 0.1182 | Test Loss.: 0.1210
Train Acc.: 0.8669 | Test Acc.: 0.8557
Epoch: 133/200   | Learning Rate 0.000900
Train Auc.: 0.9369 | Test Auc.: 0.9333
Train Loss.: 0.1342 | Test Loss.: 0.1358
Train Acc.: 0.8225 | Test Acc.: 0.8165
Epoch: 134/200   | Learning Rate 0.000900
Train Auc.: 0.9278 | Test Auc.: 0.9219
Train Loss.: 0.1309 | Test Loss.: 0.1332
Train Acc.: 0.8389 | Test Acc.: 0.8313
Epoch: 135/200   | Learning Rate 0.000900
Train Auc.: 0.8716 | Test Auc.: 0.8698
