Train Auc.: 0.9444 | Test Auc.: 0.9431
Train Loss.: 0.1067 | Test Loss.: 0.1081
Train Acc.: 0.8678 | Test Acc.: 0.8688
Epoch: 132/200   | Learning Rate 0.000900
Train Auc.: 0.9455 | Test Auc.: 0.9419
Train Loss.: 0.1049 | Test Loss.: 0.1074
Train Acc.: 0.8719 | Test Acc.: 0.8612
Epoch: 133/200   | Learning Rate 0.000900
Train Auc.: 0.9425 | Test Auc.: 0.9421
Train Loss.: 0.1054 | Test Loss.: 0.1063
Train Acc.: 0.8670 | Test Acc.: 0.8642
Epoch: 134/200   | Learning Rate 0.000900
Train Auc.: 0.9417 | Test Auc.: 0.9397
Train Loss.: 0.1085 | Test Loss.: 0.1093
Train Acc.: 0.8647 | Test Acc.: 0.8639
Epoch: 135/200   | Learning Rate 0.000900
Train Auc.: 0.9423 | Test Auc.: 0.9379
